count,c
766,31
767,38
768,27
769,30
770,29
771,28
772,27
773,28
774,41
775,46
776,26
777,36
778,25
779,36
780,30
781,27
782,30
783,24
784,31
785,32
786,39
787,29
788,26
789,26
790,25
791,27
792,16
793,41
794,35
795,28
796,26
797,32
798,32
799,35
800,36
801,34
802,30
803,30
804,32
805,29
806,18
807,30
808,36
809,26
810,25
811,23
812,35
813,30
814,23
815,30
816,37
817,26
818,30
819,27
820,29
821,23
822,30
823,32
824,24
825,28
826,23
827,33
828,19
829,24
830,29
831,29
832,16
833,31
834,24
835,33
836,21
837,21
838,25
839,23
840,36
841,20
842,21
843,25
844,34
845,27
846,26
847,26
848,23
849,25
850,19
851,35
852,23
853,22
854,21
855,28
856,30
857,27
858,24
859,24
860,25
861,17
862,31
863,24
864,30
865,16
866,22
867,19
868,24
869,26
870,31
871,13
872,25
873,19
874,17
875,19
876,27
877,28
878,20
879,21
880,20
881,26
882,27
883,18
884,23
885,20
886,28
887,17
888,23
889,23
890,24
891,23
892,26
893,29
894,23
895,19
896,25
897,26
898,21
899,19
900,23
901,27
902,26
903,17
904,22
905,18
906,26
907,20
908,28
909,22
910,18
911,20
912,18
913,21
914,25
915,18
916,24
917,17
918,20
919,15
920,23
921,24
922,21
923,18
924,21
925,28
926,18
927,20
928,21
929,17
930,16
931,18
932,25
933,11
934,20
935,23
936,32
937,23
938,21
939,20
940,17
941,21
942,23
943,20
944,21
945,17
946,14
947,17
948,12
949,20
950,16
951,12
952,29
953,23
954,10
955,20
956,17
957,12
958,20
959,18
960,25
961,19
962,32
963,22
964,17
965,20
966,25
967,21
968,16
969,19
970,12
971,26
972,20
973,20
974,19
975,21
976,17
977,21
978,16
979,19
980,26
981,12
982,22
983,20
984,19
985,19
986,15
987,16
988,27
989,19
990,20
991,24
992,13
993,19
994,10
995,21
996,14
997,9
998,14
999,22
1000,23
1001,21
1002,13
1003,20
1004,19
1005,16
1006,13
1007,16
1008,15
1009,19
1010,13
1011,17
1012,13
1013,17
1014,23
1015,15
1016,12
1017,19
1018,17
1019,13
1020,13
1021,13
1022,15
1023,21
1024,18
1025,22
1026,18
1027,17
1028,16
1029,15
1030,15
1031,17
1032,14
1033,14
1034,25
1035,9
1036,17
1037,15
1038,15
1039,21
1040,16
1041,22
1042,10
1043,15
1044,19
1045,16
1046,25
1047,18
1048,19
1049,14
1050,18
1051,24
1052,23
1053,14
1054,22
1055,14
1056,19
1057,15
1058,14
1059,14
1060,9
1061,18
1062,18
1063,9
1064,11
1065,13
1066,24
1067,15
1068,7
1069,15
1070,19
1071,19
1072,10
1073,16
1074,16
1075,15
1076,10
1077,12
1078,15
1079,18
1080,14
1081,15
1082,10
1083,14
1084,9
1085,14
1086,12
1087,15
1088,13
1089,20
1090,8
1091,9
1092,16
1093,9
