count,c
1255,1
1259,1
1261,1
1263,1
1264,1
1271,2
1273,1
1277,1
1279,1
1285,1
1286,2
1291,1
1294,1
1297,2
1303,1
1306,1
1307,1
1309,1
1320,1
1321,1
1336,1
1337,1
1347,1
1349,1
1355,1
1359,1
1361,1
1362,2
1369,1
1374,1
1398,1
1408,1
1411,1
1413,1
1421,1
1423,1
1429,1
1437,1
1438,1
1442,1
1444,1
1445,1
1447,1
1454,1
1459,1
1462,1
1463,1
1470,1
1473,1
1474,1
1480,1
1490,1
1494,1
1505,1
1510,1
1514,1
1522,1
1523,1
1524,1
1534,1
1542,1
1563,1
1581,1
1583,1
1593,1
1612,1
1631,1
1634,1
1639,1
1640,1
1641,1
1642,1
1657,1
1680,1
1685,1
1687,1
1688,1
1689,1
1692,1
1711,1
1724,1
1729,1
1750,1
1758,1
1776,1
1833,1
1858,1
1876,1
1878,1
1931,2
1934,1
1940,1
1953,1
1966,1
1969,1
1979,1
1985,1
2006,1
2057,1
2096,1
2110,1
2117,1
2118,1
2135,1
2141,1
2176,1
2179,1
2182,1
2190,1
2196,1
2251,1
2268,1
2274,1
2299,1
2311,1
2319,1
2333,1
2336,1
2345,1
2412,1
2443,1
2472,1
2496,1
2500,1
2505,1
2522,1
2554,1
2560,1
2571,1
2600,1
2670,1
2679,1
2699,1
2819,1
2873,1
3088,1
3177,1
3196,1
3223,1
3319,1
3414,2
3506,1
3514,1
3670,1
3764,1
3891,1
4252,1
4264,1
5139,1
5146,1
6558,1
10337,1
11377,1
13527,1
