count,c
787,6
788,3
789,8
791,7
792,3
793,4
794,4
795,1
796,3
797,5
798,2
799,3
800,1
801,1
802,5
803,3
804,4
805,2
806,1
807,3
808,3
809,2
810,3
811,6
812,3
813,5
814,3
815,4
816,6
817,2
818,4
819,3
820,2
821,3
822,2
823,1
824,4
825,4
826,4
827,6
828,3
829,4
830,4
831,4
832,2
833,5
834,3
835,1
836,2
837,4
838,2
839,3
840,4
841,6
842,1
844,1
845,1
846,2
847,1
848,2
849,2
850,7
851,6
853,2
854,1
855,2
856,4
857,5
858,3
859,1
860,5
861,3
862,3
864,3
865,4
866,1
867,3
868,1
869,3
870,1
871,3
872,2
873,4
874,4
875,2
876,4
877,1
878,1
879,2
880,4
881,2
882,2
883,5
884,2
885,2
886,4
887,2
889,3
890,4
891,1
892,7
893,2
894,2
895,4
896,5
897,5
898,2
899,4
900,2
901,4
902,1
903,5
904,2
905,4
906,2
907,3
908,2
910,3
911,3
912,2
913,1
914,7
915,1
916,4
917,3
919,4
920,1
922,3
923,3
924,1
925,3
926,3
927,2
928,4
929,2
931,3
932,3
933,4
934,4
935,5
936,2
937,1
938,1
939,1
940,3
941,4
943,2
944,1
945,3
946,1
947,1
948,2
949,2
950,1
951,1
952,2
953,5
954,3
955,3
956,3
957,2
959,1
960,2
961,2
962,2
964,2
965,3
966,4
967,2
968,2
969,2
970,2
971,1
972,4
974,2
975,8
976,2
977,3
978,1
979,5
980,3
981,2
982,3
983,4
984,4
985,3
986,2
987,1
988,2
989,1
990,2
991,1
992,4
993,2
994,2
995,5
996,2
997,3
998,2
999,1
1000,1
1001,3
1002,1
1003,2
1004,2
1006,3
1008,3
1009,3
1010,2
1011,2
1012,2
1013,1
1014,1
1016,2
1017,4
1018,3
1019,1
1020,1
1021,1
1022,1
1023,3
1025,2
1026,1
1027,3
1028,2
1029,2
1031,2
1032,2
1033,3
1034,1
1036,2
1037,1
1038,1
1039,1
1040,2
1041,2
1042,1
1043,4
1044,1
1045,2
1046,3
1047,2
1048,1
1050,2
1051,2
1054,3
1055,1
1056,2
1057,1
1058,2
1060,1
1061,2
1062,2
1063,2
1065,1
1067,2
1068,1
1069,1
1070,2
1071,1
1072,1
1073,3
1075,3
1076,1
1077,1
1078,3
1079,5
1080,1
1081,1
1082,3
1083,4
1084,3
1085,1
1086,1
1087,1
1088,3
1089,2
1090,2
1091,1
1093,2
1095,1
1096,2
1097,3
1099,1
1100,2
1101,2
1102,1
1103,2
1104,2
1105,2
1108,1
1109,1
1111,2
1113,2
1115,1
1116,1
1117,3
1118,2
1120,1
1122,3
1123,1
1124,3
1126,2
1127,3
1128,1
1129,1
1130,1
1131,2
1132,4
1133,2
1134,2
1135,2
1136,1
1137,3
1138,3
1139,1
1140,1
1141,1
1144,2
1145,2
1147,4
1148,1
1149,1
1150,5
1151,4
1154,2
1155,1
1157,1
1158,3
1159,1
1160,1
1162,2
1163,1
1164,1
1166,1
1167,1
1168,4
1170,2
1172,3
1173,1
1174,1
1175,2
1176,1
1177,1
1178,1
1179,3
1180,1
1181,2
1182,1
1185,2
1186,1
1187,3
1188,4
1189,1
1193,3
1194,3
1195,3
1197,1
1199,1
1200,1
1201,2
1202,1
1203,1
1204,3
1205,1
1206,1
1207,1
1208,1
1209,1
1211,1
1212,1
1213,1
1214,2
1215,2
1216,3
1217,3
1218,3
1219,1
1224,2
1226,2
1227,1
1228,3
1229,1
1230,1
1231,2
1232,1
1233,1
1234,1
1235,4
1237,1
1238,1
1240,2
1241,1
1242,2
1244,2
1246,2
1247,1
1248,1
1251,2
1252,2
1253,2
1254,1
1256,1
1257,1
1262,1
1263,1
1264,1
1266,2
1268,1
1269,1
1272,1
1275,2
1276,2
1277,3
1279,1
1281,1
1282,1
1284,2
1287,2
1288,1
1289,2
1294,1
1295,2
1296,1
1297,1
1298,2
1299,1
1300,1
1302,2
1308,2
1311,1
1314,1
1320,2
1322,2
1327,3
1329,1
1330,1
1332,1
1333,2
1336,1
1340,1
1341,2
1343,1
1344,1
1346,2
1347,1
1350,2
1351,1
1353,1
1359,1
1360,1
1362,2
1364,1
1366,1
1367,2
1370,1
1374,1
1375,1
1380,1
1382,2
1384,1
1388,1
1389,1
1391,1
1392,1
1393,1
1397,1
1402,1
1407,2
1410,1
1411,2
1413,1
1415,1
1421,2
1424,1
1428,2
1430,1
1433,1
1435,1
1437,1
1439,1
1443,1
1445,1
1446,1
1447,1
1450,1
1452,1
1456,1
1458,1
1459,3
1465,2
1467,1
1468,1
1470,1
1473,1
1477,2
1478,1
1480,1
1482,1
1484,1
1487,1
1489,1
1490,1
1493,1
1495,1
1496,1
1498,1
1502,1
1503,1
1506,1
1508,4
1510,1
1513,1
1516,1
1517,1
1518,1
1520,1
1521,1
1524,1
1526,1
1528,1
1529,1
1534,1
1538,1
1540,1
1545,1
1546,1
1548,2
1549,1
1550,1
1558,3
1559,1
1561,2
1563,1
1564,1
1566,1
1570,2
1571,1
1573,1
1576,2
1577,1
1579,1
1581,1
1582,1
1585,1
1586,1
1587,2
1590,1
1594,1
1599,1
1601,1
1603,1
1606,1
1611,4
1615,3
1618,1
1619,1
1620,1
1621,1
1630,1
1631,3
1632,1
1634,1
1636,1
1638,2
1639,2
1640,1
1642,1
1648,1
1651,1
1652,1
1653,1
1657,1
1658,1
1670,1
1671,3
1677,1
1684,1
1691,1
1693,1
1702,1
1704,1
1708,1
1711,1
1718,1
1723,1
1729,1
1731,1
1732,1
1734,2
1738,1
1739,1
1741,1
1742,1
1746,2
1748,1
1753,1
1757,1
1766,1
1773,1
1774,1
1775,1
1789,1
1790,1
1791,1
1795,1
1796,2
1805,1
1809,1
1821,1
1826,1
1832,2
1833,2
1836,1
1843,1
1852,1
1853,1
1859,1
1862,1
1868,2
1871,1
1872,1
1874,1
1875,1
1877,1
1878,1
1879,2
1884,1
1891,1
1897,1
1906,2
1912,1
1915,1
1916,1
1918,1
1923,1
1929,1
1932,1
1934,1
1935,1
1943,1
1946,1
1947,1
1951,1
1952,1
1958,1
1962,1
1966,1
1967,1
1972,1
1974,1
1981,1
1982,1
1984,1
1988,1
1991,1
2002,1
2012,1
2014,1
2017,1
2030,1
2033,1
2036,1
2044,1
2049,4
2052,1
2061,1
2063,1
2069,1
2071,1
2086,2
2092,1
2095,1
2098,1
2102,1
2111,1
2120,1
2121,1
2132,1
2136,1
2139,1
2154,1
2157,1
2176,1
2190,1
2207,1
2212,1
2217,1
2219,1
2220,1
2228,1
2235,1
2239,2
2249,1
2263,1
2285,1
2309,1
2323,1
2336,1
2344,1
2355,1
2357,1
2360,1
2363,1
2372,1
2375,1
2377,1
2387,1
2393,1
2406,1
2421,1
2431,1
2446,1
2453,1
2465,1
2472,1
2491,1
2505,1
2515,1
2529,1
2543,1
2548,1
2583,1
2585,1
2589,1
2592,1
2597,1
2612,1
2624,1
2626,1
2642,1
2647,1
2680,1
2723,1
2734,1
2744,1
2785,1
2791,1
2819,1
2821,1
2870,1
2876,2
2886,1
2896,1
2906,1
2908,1
2910,1
2913,1
2917,1
2921,1
2936,1
2938,1
2960,1
2973,1
2974,1
2976,1
2986,1
3017,1
3020,1
3029,1
3044,1
3062,1
3089,1
3177,1
3205,1
3207,1
3231,1
3233,1
3264,1
3265,1
3278,1
3294,1
3304,1
3316,1
3338,1
3396,1
3410,1
3425,1
3447,1
3509,1
3540,1
3541,1
3612,1
3653,1
3705,1
3728,1
3811,1
3943,1
3958,1
4100,1
4234,1
4261,1
4287,1
4326,1
4445,1
4498,1
4573,1
4672,1
4776,1
4831,1
5041,1
5043,1
5240,1
5512,1
5536,1
5580,1
5608,1
5782,1
6271,1
6460,1
6532,1
6751,1
7103,1
7522,1
8062,1
10224,1
10907,1
12592,1
13771,1
19335,1
20357,1
21337,1
77837,1
