count,c
829,2
831,3
833,1
834,1
835,1
840,2
841,1
842,1
843,1
844,3
845,1
846,3
847,2
848,3
849,1
851,1
854,1
855,1
856,1
857,1
858,3
860,4
861,3
862,1
863,1
864,2
865,2
866,2
868,1
872,2
873,2
874,1
875,1
876,3
877,1
878,2
879,1
881,5
882,1
883,1
884,1
885,1
886,4
887,1
888,1
889,1
890,3
892,2
893,2
894,2
896,2
897,3
899,1
900,1
902,1
903,2
904,1
905,1
907,1
908,1
909,1
911,1
914,1
916,3
918,1
920,1
921,1
922,2
924,1
925,2
927,1
929,2
930,1
931,3
932,2
933,1
935,1
936,1
937,1
938,1
939,1
940,1
941,1
942,1
947,1
948,1
953,1
954,1
955,1
957,2
958,2
961,4
962,1
964,2
967,3
969,1
970,1
974,2
976,2
977,1
978,1
979,1
980,3
983,4
985,1
986,3
987,1
988,4
989,1
990,3
993,1
994,1
995,1
996,1
998,2
999,2
1001,4
1002,1
1004,1
1005,3
1009,2
1011,1
1012,1
1014,1
1015,2
1016,1
1021,1
1022,2
1026,1
1027,5
1031,1
1032,1
1033,2
1034,1
1035,1
1036,1
1038,1
1039,2
1040,1
1041,1
1042,2
1043,1
1044,1
1045,2
1053,1
1055,1
1056,3
1059,1
1060,1
1066,3
1067,1
1070,1
1071,1
1072,1
1073,1
1075,1
1079,2
1080,2
1081,3
1082,1
1083,1
1084,1
1086,2
1089,1
1090,2
1092,1
1093,2
1095,3
1097,2
1098,1
1101,2
1102,2
1103,2
1104,2
1105,1
1106,1
1108,1
1109,2
1114,2
1115,1
1116,1
1117,2
1118,1
1119,1
1124,1
1125,1
1126,3
1127,1
1131,2
1132,1
1133,2
1134,1
1136,1
1140,2
1145,1
1147,1
1148,1
1150,1
1153,1
1155,1
1160,1
1162,2
1164,1
1165,1
1170,1
1171,1
1172,1
1175,1
1176,1
1178,2
1181,1
1182,1
1185,1
1187,1
1188,1
1191,1
1194,1
1195,2
1197,1
1198,1
1199,1
1200,1
1204,1
1205,1
1209,2
1211,1
1215,3
1217,1
1220,2
1222,1
1227,1
1228,1
1229,1
1230,1
1236,1
1237,1
1241,1
1242,1
1244,1
1247,2
1256,1
1261,1
1262,1
1263,1
1269,1
1274,1
1275,2
1276,1
1278,2
1281,1
1283,1
1288,2
1293,1
1298,1
1299,1
1301,1
1306,1
1307,1
1308,2
1316,1
1321,1
1327,1
1328,1
1337,1
1343,1
1346,1
1350,1
1354,1
1361,1
1363,1
1370,1
1372,1
1382,1
1383,1
1387,1
1390,2
1392,1
1394,1
1395,2
1396,1
1404,1
1406,1
1407,1
1408,1
1409,1
1410,1
1413,1
1417,1
1420,1
1424,1
1426,1
1430,1
1432,1
1435,1
1437,1
1440,1
1446,1
1447,2
1450,1
1451,1
1454,1
1456,1
1460,1
1461,2
1463,1
1464,1
1465,1
1473,2
1477,1
1478,1
1482,1
1484,1
1487,1
1493,1
1496,1
1499,1
1500,1
1502,1
1503,2
1507,1
1516,1
1518,1
1521,1
1523,1
1526,1
1530,1
1531,1
1535,1
1544,1
1554,1
1564,1
1568,1
1569,1
1575,1
1577,1
1583,1
1584,2
1585,2
1587,1
1590,1
1596,1
1600,1
1601,1
1602,1
1609,1
1610,1
1615,1
1617,1
1618,1
1619,2
1620,1
1624,1
1633,1
1635,1
1642,1
1651,2
1653,1
1655,2
1657,1
1662,1
1663,1
1664,1
1676,1
1684,1
1686,1
1688,1
1693,1
1698,1
1708,1
1711,1
1716,1
1718,1
1724,1
1735,1
1737,1
1780,1
1798,1
1799,2
1803,1
1804,1
1807,1
1813,1
1816,1
1828,1
1841,1
1845,1
1857,1
1860,1
1867,1
1872,1
1885,1
1917,2
1927,1
1928,1
1933,2
1942,1
1952,1
1956,1
1968,1
1974,1
1987,2
1997,2
2005,1
2012,1
2043,1
2045,1
2062,1
2067,1
2090,1
2099,1
2112,1
2119,1
2125,1
2138,1
2140,1
2141,1
2142,2
2180,1
2183,1
2184,1
2214,1
2218,1
2221,1
2235,1
2243,1
2245,1
2280,1
2296,1
2318,1
2327,1
2329,1
2339,1
2351,1
2369,1
2381,1
2424,1
2440,2
2481,1
2488,1
2492,1
2520,1
2527,1
2529,1
2577,1
2578,1
2583,1
2600,1
2609,1
2614,1
2615,1
2627,1
2632,1
2667,1
2681,1
2688,1
2778,1
2793,1
3076,1
3139,1
3149,1
3271,1
3295,1
3340,1
3342,1
3345,1
3560,1
3594,1
3637,1
3650,1
3842,1
3885,1
3994,1
4052,1
4395,1
4571,1
4627,1
4794,1
4979,1
4984,1
5024,1
5576,1
7325,1
8129,1
8356,1
8595,1
8668,1
10162,1
11128,1
20427,1
42170,1
